"Store","DayOfWeek","Date","Sales","Customers","Open","Promo","StateHoliday","SchoolHoliday"
274,6,"2015-07-18",5087,1118,1,0,"0",0
530,6,"2015-07-18",7379,1306,1,0,"0",0
732,6,"2015-07-18",8585,904,1,0,"0",0
909,6,"2015-07-18",16051,1347,1,0,"0",0
183,5,"2015-07-17",4561,610,1,1,"0",0
192,5,"2015-07-17",13333,900,1,1,"0",0
274,5,"2015-07-17",6017,1477,1,1,"0",0
530,5,"2015-07-17",7676,1257,1,1,"0",0
732,5,"2015-07-17",8154,892,1,1,"0",0
909,5,"2015-07-17",0,0,0,1,"0",0
183,4,"2015-07-16",4720,586,1,1,"0",0
192,4,"2015-07-16",12779,798,1,1,"0",0
274,4,"2015-07-16",5931,1280,1,1,"0",0
530,4,"2015-07-16",7202,1212,1,1,"0",0
732,4,"2015-07-16",9440,1083,1,1,"0",0
909,4,"2015-07-16",0,0,0,1,"0",0
183,3,"2015-07-15",5156,647,1,1,"0",0
192,3,"2015-07-15",13958,894,1,1,"0",0
274,3,"2015-07-15",5752,1263,1,1,"0",0
530,3,"2015-07-15",7557,1172,1,1,"0",0
732,3,"2015-07-15",8650,914,1,1,"0",0
909,3,"2015-07-15",0,0,0,1,"0",0
183,2,"2015-07-14",5991,699,1,1,"0",0
192,2,"2015-07-14",14816,936,1,1,"0",0
274,2,"2015-07-14",5930,1226,1,1,"0",0
530,2,"2015-07-14",7857,1273,1,1,"0",0
732,2,"2015-07-14",8988,968,1,1,"0",0
909,2,"2015-07-14",0,0,0,1,"0",0
183,1,"2015-07-13",7644,863,1,1,"0",0
192,1,"2015-07-13",15996,1012,1,1,"0",0
274,1,"2015-07-13",6605,1312,1,1,"0",0
530,1,"2015-07-13",8559,1338,1,1,"0",0
732,1,"2015-07-13",11379,1188,1,1,"0",0
909,1,"2015-07-13",0,0,0,1,"0",0
183,7,"2015-07-12",0,0,0,0,"0",0
192,7,"2015-07-12",0,0,0,0,"0",0
274,7,"2015-07-12",7587,1567,1,0,"0",0
530,7,"2015-07-12",5436,950,1,0,"0",0
732,7,"2015-07-12",4279,511,1,0,"0",0
909,7,"2015-07-12",0,0,0,0,"0",0
183,6,"2015-07-11",3178,419,1,0,"0",0
192,6,"2015-07-11",14955,1008,1,0,"0",0
274,6,"2015-07-11",4487,1061,1,0,"0",0
530,6,"2015-07-11",6329,1140,1,0,"0",0
732,6,"2015-07-11",6746,777,1,0,"0",0
909,6,"2015-07-11",0,0,0,0,"0",0
183,5,"2015-07-10",4358,624,1,0,"0",0
192,5,"2015-07-10",12272,853,1,0,"0",0
274,5,"2015-07-10",5873,1354,1,0,"0",0
530,5,"2015-07-10",6100,1077,1,0,"0",0
732,5,"2015-07-10",8473,945,1,0,"0",0
909,5,"2015-07-10",0,0,0,0,"0",0
183,4,"2015-07-09",4864,629,1,0,"0",0
192,4,"2015-07-09",10130,737,1,0,"0",0
274,4,"2015-07-09",5254,1242,1,0,"0",0
530,4,"2015-07-09",5541,1032,1,0,"0",0
732,4,"2015-07-09",8842,1042,1,0,"0",0
909,4,"2015-07-09",0,0,0,0,"0",0
183,3,"2015-07-08",4682,592,1,0,"0",0
192,3,"2015-07-08",10236,748,1,0,"0",0
274,3,"2015-07-08",4857,1134,1,0,"0",0
530,3,"2015-07-08",6654,1165,1,0,"0",0
732,3,"2015-07-08",8927,969,1,0,"0",0
909,3,"2015-07-08",0,0,0,0,"0",0
183,2,"2015-07-07",4568,562,1,0,"0",0
192,2,"2015-07-07",8446,630,1,0,"0",0
274,2,"2015-07-07",5333,1265,1,0,"0",0
530,2,"2015-07-07",7405,1193,1,0,"0",0
732,2,"2015-07-07",8905,973,1,0,"0",0
909,2,"2015-07-07",0,0,0,0,"0",0
183,1,"2015-07-06",5231,675,1,0,"0",0
192,1,"2015-07-06",11172,787,1,0,"0",0
274,1,"2015-07-06",5921,1424,1,0,"0",0
530,1,"2015-07-06",7921,1316,1,0,"0",0
732,1,"2015-07-06",11567,1239,1,0,"0",0
909,1,"2015-07-06",0,0,0,0,"0",0
183,7,"2015-07-05",0,0,0,0,"0",0
192,7,"2015-07-05",0,0,0,0,"0",0
274,7,"2015-07-05",7318,1678,1,0,"0",0
530,7,"2015-07-05",5540,985,1,0,"0",0
732,7,"2015-07-05",3855,399,1,0,"0",0
909,7,"2015-07-05",0,0,0,0,"0",0
183,6,"2015-07-04",3952,474,1,0,"0",0
192,6,"2015-07-04",13662,978,1,0,"0",0
274,6,"2015-07-04",4690,1221,1,0,"0",0
530,6,"2015-07-04",7938,1494,1,0,"0",0
732,6,"2015-07-04",7290,793,1,0,"0",0
909,6,"2015-07-04",0,0,0,0,"0",0
183,5,"2015-07-03",7998,818,1,1,"0",0
192,5,"2015-07-03",13922,901,1,1,"0",0
274,5,"2015-07-03",6713,1629,1,1,"0",0
530,5,"2015-07-03",6731,1141,1,1,"0",0
732,5,"2015-07-03",9078,979,1,1,"0",0
909,5,"2015-07-03",0,0,0,1,"0",0
183,4,"2015-07-02",7962,812,1,1,"0",0
192,4,"2015-07-02",13671,822,1,1,"0",0
274,4,"2015-07-02",6210,1529,1,1,"0",0
530,4,"2015-07-02",7993,1298,1,1,"0",0
732,4,"2015-07-02",9109,989,1,1,"0",0
909,4,"2015-07-02",0,0,0,1,"0",0
183,3,"2015-07-01",8878,874,1,1,"0",0
192,3,"2015-07-01",11290,775,1,1,"0",0
274,3,"2015-07-01",6549,1371,1,1,"0",0
530,3,"2015-07-01",7287,1196,1,1,"0",0
732,3,"2015-07-01",9262,1005,1,1,"0",0
909,3,"2015-07-01",3547,438,1,1,"0",0
183,2,"2015-06-30",10485,936,1,1,"0",0
192,2,"2015-06-30",19024,1026,1,1,"0",0
274,2,"2015-06-30",7723,1482,1,1,"0",0
530,2,"2015-06-30",7618,1126,1,1,"0",0
732,2,"2015-06-30",9520,998,1,1,"0",0
909,2,"2015-06-30",10681,787,1,1,"0",0
183,1,"2015-06-29",13260,1158,1,1,"0",0
192,1,"2015-06-29",19222,1102,1,1,"0",0
274,1,"2015-06-29",7625,1406,1,1,"0",0
530,1,"2015-06-29",7963,1118,1,1,"0",0
732,1,"2015-06-29",11586,1161,1,1,"0",0
909,1,"2015-06-29",6125,637,1,1,"0",0
183,7,"2015-06-28",0,0,0,0,"0",0
192,7,"2015-06-28",0,0,0,0,"0",0
274,7,"2015-06-28",7872,1579,1,0,"0",0
530,7,"2015-06-28",4511,825,1,0,"0",0
732,7,"2015-06-28",3501,365,1,0,"0",0
909,7,"2015-06-28",0,0,0,0,"0",0
183,6,"2015-06-27",6512,659,1,0,"0",0
192,6,"2015-06-27",15074,1039,1,0,"0",0
274,6,"2015-06-27",4589,964,1,0,"0",0
530,6,"2015-06-27",4941,829,1,0,"0",0
732,6,"2015-06-27",6398,715,1,0,"0",0
909,6,"2015-06-27",6990,589,1,0,"0",0
183,5,"2015-06-26",14463,1364,1,0,"0",0
192,5,"2015-06-26",10976,786,1,0,"0",0
274,5,"2015-06-26",5664,1380,1,0,"0",0
530,5,"2015-06-26",4368,765,1,0,"0",0
732,5,"2015-06-26",5851,716,1,0,"0",0
909,5,"2015-06-26",9447,791,1,0,"0",0
183,4,"2015-06-25",0,0,0,0,"0",0
192,4,"2015-06-25",10471,734,1,0,"0",0
274,4,"2015-06-25",4625,1144,1,0,"0",0
530,4,"2015-06-25",3769,694,1,0,"0",0
732,4,"2015-06-25",6046,747,1,0,"0",0
909,4,"2015-06-25",12241,962,1,0,"0",0
183,3,"2015-06-24",0,0,0,0,"0",0
192,3,"2015-06-24",9632,713,1,0,"0",0
274,3,"2015-06-24",5023,1184,1,0,"0",0
530,3,"2015-06-24",4646,776,1,0,"0",0
732,3,"2015-06-24",6414,757,1,0,"0",0
909,3,"2015-06-24",18306,1236,1,0,"0",0
183,2,"2015-06-23",0,0,0,0,"0",0
192,2,"2015-06-23",9559,754,1,0,"0",0
274,2,"2015-06-23",4911,1150,1,0,"0",0
530,2,"2015-06-23",5032,859,1,0,"0",0
732,2,"2015-06-23",5818,730,1,0,"0",0
909,2,"2015-06-23",30038,1635,1,0,"0",0
183,1,"2015-06-22",0,0,0,0,"0",0
192,1,"2015-06-22",10511,776,1,0,"0",0
274,1,"2015-06-22",4602,1157,1,0,"0",0
530,1,"2015-06-22",5158,889,1,0,"0",0
732,1,"2015-06-22",7465,923,1,0,"0",0
909,1,"2015-06-22",41551,1721,1,0,"0",0
183,7,"2015-06-21",0,0,0,0,"0",0
192,7,"2015-06-21",0,0,0,0,"0",0
274,7,"2015-06-21",7308,1499,1,0,"0",0
530,7,"2015-06-21",4002,713,1,0,"0",0
732,7,"2015-06-21",2916,338,1,0,"0",0
909,7,"2015-06-21",0,0,0,0,"0",0
183,6,"2015-06-20",0,0,0,0,"0",0
192,6,"2015-06-20",14817,1010,1,0,"0",0
274,6,"2015-06-20",4162,899,1,0,"0",0
530,6,"2015-06-20",4936,846,1,0,"0",0
732,6,"2015-06-20",5054,602,1,0,"0",0
909,6,"2015-06-20",22882,1214,1,0,"0",0
183,5,"2015-06-19",0,0,0,1,"0",0
192,5,"2015-06-19",15313,1028,1,1,"0",0
274,5,"2015-06-19",5619,1306,1,1,"0",0
530,5,"2015-06-19",5015,820,1,1,"0",0
732,5,"2015-06-19",6650,790,1,1,"0",0
909,5,"2015-06-19",11856,1106,1,1,"0",0
183,4,"2015-06-18",0,0,0,1,"0",0
192,4,"2015-06-18",11906,796,1,1,"0",0
274,4,"2015-06-18",5161,1220,1,1,"0",0
530,4,"2015-06-18",4793,824,1,1,"0",0
732,4,"2015-06-18",6982,875,1,1,"0",0
909,4,"2015-06-18",10528,937,1,1,"0",0
183,3,"2015-06-17",0,0,0,1,"0",0
192,3,"2015-06-17",14273,906,1,1,"0",0
274,3,"2015-06-17",4833,1188,1,1,"0",0
530,3,"2015-06-17",4634,844,1,1,"0",0
732,3,"2015-06-17",6937,796,1,1,"0",0
909,3,"2015-06-17",12244,1125,1,1,"0",0
183,2,"2015-06-16",0,0,0,1,"0",0
192,2,"2015-06-16",14660,945,1,1,"0",0
274,2,"2015-06-16",5733,1187,1,1,"0",0
530,2,"2015-06-16",5546,898,1,1,"0",0
732,2,"2015-06-16",8513,903,1,1,"0",0
909,2,"2015-06-16",14222,1239,1,1,"0",0
183,1,"2015-06-15",0,0,0,1,"0",0
192,1,"2015-06-15",15414,942,1,1,"0",0
274,1,"2015-06-15",5519,1244,1,1,"0",0
530,1,"2015-06-15",6634,1031,1,1,"0",0
732,1,"2015-06-15",10387,1048,1,1,"0",0
909,1,"2015-06-15",16602,1322,1,1,"0",0
183,7,"2015-06-14",0,0,0,0,"0",0
192,7,"2015-06-14",0,0,0,0,"0",0
274,7,"2015-06-14",7786,1577,1,0,"0",0
530,7,"2015-06-14",4181,752,1,0,"0",0
732,7,"2015-06-14",2962,381,1,0,"0",0
909,7,"2015-06-14",0,0,0,0,"0",0
183,6,"2015-06-13",0,0,0,0,"0",0
192,6,"2015-06-13",15743,1057,1,0,"0",0
274,6,"2015-06-13",3566,857,1,0,"0",0
530,6,"2015-06-13",4985,841,1,0,"0",0
732,6,"2015-06-13",5931,705,1,0,"0",0
909,6,"2015-06-13",9113,927,1,0,"0",0
183,5,"2015-06-12",0,0,0,0,"0",0
192,5,"2015-06-12",10774,764,1,0,"0",0
274,5,"2015-06-12",4841,1290,1,0,"0",0
530,5,"2015-06-12",4646,899,1,0,"0",0
732,5,"2015-06-12",6231,750,1,0,"0",0
909,5,"2015-06-12",8997,930,1,0,"0",0
183,4,"2015-06-11",6490,590,1,0,"0",0
192,4,"2015-06-11",9960,710,1,0,"0",0
274,4,"2015-06-11",4023,1161,1,0,"0",0
530,4,"2015-06-11",5442,936,1,0,"0",0
732,4,"2015-06-11",6659,810,1,0,"0",0
909,4,"2015-06-11",8416,872,1,0,"0",0
183,3,"2015-06-10",10566,752,1,0,"0",0
192,3,"2015-06-10",8646,675,1,0,"0",0
274,3,"2015-06-10",4267,1119,1,0,"0",0
530,3,"2015-06-10",4739,855,1,0,"0",0
732,3,"2015-06-10",5724,697,1,0,"0",0
909,3,"2015-06-10",8885,933,1,0,"0",0
183,2,"2015-06-09",6144,627,1,0,"0",0
192,2,"2015-06-09",9544,763,1,0,"0",0
274,2,"2015-06-09",3858,1007,1,0,"0",0
530,2,"2015-06-09",4798,917,1,0,"0",0
732,2,"2015-06-09",7160,830,1,0,"0",0
909,2,"2015-06-09",9778,1006,1,0,"0",0
183,1,"2015-06-08",6901,689,1,0,"0",0
192,1,"2015-06-08",12151,811,1,0,"0",0
274,1,"2015-06-08",4253,1112,1,0,"0",0
530,1,"2015-06-08",5729,1005,1,0,"0",0
732,1,"2015-06-08",9214,1013,1,0,"0",0
909,1,"2015-06-08",9352,978,1,0,"0",0
183,7,"2015-06-07",0,0,0,0,"0",0
192,7,"2015-06-07",0,0,0,0,"0",0
274,7,"2015-06-07",7033,1652,1,0,"0",0
530,7,"2015-06-07",4311,791,1,0,"0",0
732,7,"2015-06-07",2823,340,1,0,"0",0
909,7,"2015-06-07",0,0,0,0,"0",0
183,6,"2015-06-06",5536,454,1,0,"0",0
192,6,"2015-06-06",14684,1005,1,0,"0",0
274,6,"2015-06-06",3888,970,1,0,"0",0
530,6,"2015-06-06",6289,1086,1,0,"0",0
732,6,"2015-06-06",6884,780,1,0,"0",0
909,6,"2015-06-06",8868,930,1,0,"0",0
183,5,"2015-06-05",9738,868,1,1,"0",1
192,5,"2015-06-05",18165,1128,1,1,"0",1
274,5,"2015-06-05",4709,1290,1,1,"0",0
530,5,"2015-06-05",6760,1164,1,1,"0",0
732,5,"2015-06-05",7606,858,1,1,"0",0
909,5,"2015-06-05",15352,1260,1,1,"0",1
183,4,"2015-06-04",0,0,0,1,"a",1
192,4,"2015-06-04",0,0,0,1,"a",1
274,4,"2015-06-04",8466,1801,1,1,"a",0
530,4,"2015-06-04",5847,901,1,1,"0",0
732,4,"2015-06-04",7186,797,1,1,"0",0
909,4,"2015-06-04",0,0,0,1,"a",1
183,3,"2015-06-03",11859,871,1,1,"0",1
192,3,"2015-06-03",14208,975,1,1,"0",1
274,3,"2015-06-03",5015,1306,1,1,"0",0
530,3,"2015-06-03",5746,935,1,1,"0",0
732,3,"2015-06-03",7866,780,1,1,"0",0
909,3,"2015-06-03",13209,1176,1,1,"0",1
183,2,"2015-06-02",16129,1150,1,1,"0",1
192,2,"2015-06-02",13804,911,1,1,"0",1
274,2,"2015-06-02",4173,1075,1,1,"0",0
530,2,"2015-06-02",5580,831,1,1,"0",0
732,2,"2015-06-02",7864,865,1,1,"0",0
909,2,"2015-06-02",14629,1234,1,1,"0",1
183,1,"2015-06-01",18797,1265,1,1,"0",1
192,1,"2015-06-01",15799,969,1,1,"0",1
274,1,"2015-06-01",4754,1107,1,1,"0",0
530,1,"2015-06-01",7557,1156,1,1,"0",0
732,1,"2015-06-01",9695,968,1,1,"0",0
909,1,"2015-06-01",15844,1279,1,1,"0",1
183,7,"2015-05-31",0,0,0,0,"0",0
192,7,"2015-05-31",0,0,0,0,"0",0
274,7,"2015-05-31",7479,1582,1,0,"0",0
530,7,"2015-05-31",4290,740,1,0,"0",0
732,7,"2015-05-31",2911,330,1,0,"0",0
909,7,"2015-05-31",0,0,0,0,"0",0
183,6,"2015-05-30",8437,717,1,0,"0",0
192,6,"2015-05-30",16106,1068,1,0,"0",0
274,6,"2015-05-30",3974,896,1,0,"0",0
530,6,"2015-05-30",5257,888,1,0,"0",0
732,6,"2015-05-30",6677,694,1,0,"0",0
909,6,"2015-05-30",11030,975,1,0,"0",0
183,5,"2015-05-29",4973,625,1,0,"0",1
192,5,"2015-05-29",11382,777,1,0,"0",1
274,5,"2015-05-29",4882,1237,1,0,"0",0
530,5,"2015-05-29",5660,821,1,0,"0",0
732,5,"2015-05-29",7216,761,1,0,"0",0
909,5,"2015-05-29",10341,1002,1,0,"0",1
183,4,"2015-05-28",4723,630,1,0,"0",1
192,4,"2015-05-28",8608,650,1,0,"0",1
274,4,"2015-05-28",4132,1051,1,0,"0",0
530,4,"2015-05-28",5144,826,1,0,"0",0
732,4,"2015-05-28",6522,691,1,0,"0",0
909,4,"2015-05-28",8958,871,1,0,"0",1
183,3,"2015-05-27",5289,679,1,0,"0",1
192,3,"2015-05-27",9804,703,1,0,"0",1
274,3,"2015-05-27",3568,973,1,0,"0",0
530,3,"2015-05-27",5242,924,1,0,"0",0
732,3,"2015-05-27",7219,802,1,0,"0",0
909,3,"2015-05-27",10341,1006,1,0,"0",1
183,2,"2015-05-26",6555,776,1,0,"0",1
192,2,"2015-05-26",12799,879,1,0,"0",1
274,2,"2015-05-26",3961,1060,1,0,"0",0
530,2,"2015-05-26",5596,950,1,0,"0",0
732,2,"2015-05-26",7967,866,1,0,"0",0
909,2,"2015-05-26",9259,953,1,0,"0",1
183,1,"2015-05-25",0,0,0,0,"a",0
192,1,"2015-05-25",0,0,0,0,"a",0
274,1,"2015-05-25",9466,1788,1,0,"a",0
530,1,"2015-05-25",6009,1018,1,0,"a",0
732,1,"2015-05-25",3601,467,1,0,"a",0
909,1,"2015-05-25",0,0,0,0,"a",0
183,7,"2015-05-24",0,0,0,0,"0",0
192,7,"2015-05-24",0,0,0,0,"0",0
274,7,"2015-05-24",7166,1312,1,0,"0",0
530,7,"2015-05-24",6247,1133,1,0,"0",0
732,7,"2015-05-24",2831,354,1,0,"0",0
909,7,"2015-05-24",0,0,0,0,"0",0
183,6,"2015-05-23",4245,461,1,0,"0",0
192,6,"2015-05-23",16896,1134,1,0,"0",0
274,6,"2015-05-23",3542,839,1,0,"0",0
530,6,"2015-05-23",7118,1187,1,0,"0",0
732,6,"2015-05-23",6901,795,1,0,"0",0
909,6,"2015-05-23",10480,990,1,0,"0",0
183,5,"2015-05-22",5798,722,1,1,"0",0
192,5,"2015-05-22",15296,1023,1,1,"0",0
274,5,"2015-05-22",4623,1172,1,1,"0",0
530,5,"2015-05-22",5594,896,1,1,"0",0
732,5,"2015-05-22",6769,770,1,1,"0",0
909,5,"2015-05-22",11578,1077,1,1,"0",0
183,4,"2015-05-21",5704,645,1,1,"0",0
192,4,"2015-05-21",14269,898,1,1,"0",0
274,4,"2015-05-21",3623,926,1,1,"0",0
530,4,"2015-05-21",5354,906,1,1,"0",0
732,4,"2015-05-21",7023,805,1,1,"0",0
909,4,"2015-05-21",11706,1075,1,1,"0",0
183,3,"2015-05-20",4537,540,1,1,"0",0
192,3,"2015-05-20",12310,764,1,1,"0",0
274,3,"2015-05-20",3379,869,1,1,"0",0
530,3,"2015-05-20",5874,951,1,1,"0",0
732,3,"2015-05-20",6039,687,1,1,"0",0
909,3,"2015-05-20",11665,992,1,1,"0",0
183,2,"2015-05-19",5614,656,1,1,"0",0
192,2,"2015-05-19",14188,877,1,1,"0",0
274,2,"2015-05-19",4045,1024,1,1,"0",0
530,2,"2015-05-19",5105,881,1,1,"0",0
732,2,"2015-05-19",6499,757,1,1,"0",0
909,2,"2015-05-19",13042,1168,1,1,"0",0
183,1,"2015-05-18",7236,853,1,1,"0",0
192,1,"2015-05-18",15288,1016,1,1,"0",0
274,1,"2015-05-18",4652,1143,1,1,"0",0
530,1,"2015-05-18",6390,909,1,1,"0",0
732,1,"2015-05-18",8981,957,1,1,"0",0
909,1,"2015-05-18",14146,1293,1,1,"0",0
183,7,"2015-05-17",0,0,0,0,"0",0
192,7,"2015-05-17",0,0,0,0,"0",0
274,7,"2015-05-17",7652,1681,1,0,"0",0
530,7,"2015-05-17",4184,730,1,0,"0",0
732,7,"2015-05-17",2919,325,1,0,"0",0
909,7,"2015-05-17",0,0,0,0,"0",0
183,6,"2015-05-16",3605,450,1,0,"0",0
192,6,"2015-05-16",14231,1019,1,0,"0",0
274,6,"2015-05-16",3705,920,1,0,"0",0
530,6,"2015-05-16",5659,952,1,0,"0",0
732,6,"2015-05-16",7365,757,1,0,"0",0
909,6,"2015-05-16",9903,975,1,0,"0",0
183,5,"2015-05-15",4831,593,1,0,"0",0
192,5,"2015-05-15",14980,1001,1,0,"0",0
274,5,"2015-05-15",3849,1007,1,0,"0",0
530,5,"2015-05-15",6702,1131,1,0,"0",1
732,5,"2015-05-15",9537,1026,1,0,"0",1
909,5,"2015-05-15",11810,1055,1,0,"0",0
183,4,"2015-05-14",0,0,0,0,"a",0
192,4,"2015-05-14",0,0,0,0,"a",0
274,4,"2015-05-14",7871,1670,1,0,"a",0
530,4,"2015-05-14",5665,975,1,0,"a",0
732,4,"2015-05-14",2838,336,1,0,"a",0
909,4,"2015-05-14",0,0,0,0,"a",0
183,3,"2015-05-13",5238,648,1,0,"0",0
192,3,"2015-05-13",12903,989,1,0,"0",0
274,3,"2015-05-13",4570,1266,1,0,"0",0
530,3,"2015-05-13",5301,844,1,0,"0",0
732,3,"2015-05-13",7354,843,1,0,"0",0
909,3,"2015-05-13",10695,1125,1,0,"0",0
183,2,"2015-05-12",5391,652,1,0,"0",0
192,2,"2015-05-12",10051,690,1,0,"0",0
274,2,"2015-05-12",3918,1054,1,0,"0",0
530,2,"2015-05-12",4738,838,1,0,"0",0
732,2,"2015-05-12",5655,706,1,0,"0",0
909,2,"2015-05-12",8753,970,1,0,"0",0
183,1,"2015-05-11",5774,705,1,0,"0",0
192,1,"2015-05-11",10520,764,1,0,"0",0
274,1,"2015-05-11",4045,1091,1,0,"0",0
530,1,"2015-05-11",5054,839,1,0,"0",0
732,1,"2015-05-11",6182,749,1,0,"0",0
909,1,"2015-05-11",9474,1005,1,0,"0",0
183,7,"2015-05-10",0,0,0,0,"0",0
192,7,"2015-05-10",0,0,0,0,"0",0
274,7,"2015-05-10",7142,1511,1,0,"0",0
530,7,"2015-05-10",4217,697,1,0,"0",0
732,7,"2015-05-10",1988,250,1,0,"0",0
909,7,"2015-05-10",0,0,0,0,"0",0
183,6,"2015-05-09",3481,418,1,0,"0",0
192,6,"2015-05-09",16169,1155,1,0,"0",0
274,6,"2015-05-09",3524,839,1,0,"0",0
530,6,"2015-05-09",4515,722,1,0,"0",0
732,6,"2015-05-09",5602,568,1,0,"0",0
909,6,"2015-05-09",9797,979,1,0,"0",0
183,5,"2015-05-08",5219,641,1,1,"0",0
192,5,"2015-05-08",13777,942,1,1,"0",0
274,5,"2015-05-08",4025,1059,1,1,"0",0
530,5,"2015-05-08",4424,713,1,1,"0",0
732,5,"2015-05-08",5460,600,1,1,"0",0
909,5,"2015-05-08",12480,1107,1,1,"0",0
183,4,"2015-05-07",5204,652,1,1,"0",0
192,4,"2015-05-07",12797,848,1,1,"0",0
274,4,"2015-05-07",4149,938,1,1,"0",0
530,4,"2015-05-07",4506,742,1,1,"0",0
732,4,"2015-05-07",5833,681,1,1,"0",0
909,4,"2015-05-07",11768,1064,1,1,"0",0
183,3,"2015-05-06",5149,599,1,1,"0",0
192,3,"2015-05-06",12604,774,1,1,"0",0
274,3,"2015-05-06",3607,870,1,1,"0",0
530,3,"2015-05-06",4856,786,1,1,"0",0
732,3,"2015-05-06",5795,658,1,1,"0",0
909,3,"2015-05-06",11886,1044,1,1,"0",0
183,2,"2015-05-05",6211,747,1,1,"0",0
192,2,"2015-05-05",12558,831,1,1,"0",0
274,2,"2015-05-05",3973,906,1,1,"0",0
530,2,"2015-05-05",4348,675,1,1,"0",0
732,2,"2015-05-05",5932,646,1,1,"0",0
909,2,"2015-05-05",13042,1124,1,1,"0",0
183,1,"2015-05-04",7466,873,1,1,"0",0
192,1,"2015-05-04",15559,1010,1,1,"0",0
