"","Store","DayOfWeek","Date","Sales","Customers","Open","Promo","StateHoliday","SchoolHoliday"
"11109",1074,3,"2015-07-22",3271,369,1,0,"0",1
"11233",83,2,"2015-07-21",2650,266,1,0,"0",1
"11294",144,2,"2015-07-21",6449,660,1,0,"0",0
"11337",187,2,"2015-07-21",6137,765,1,0,"0",1
"11350",200,2,"2015-07-21",5917,776,1,0,"0",1
"11357",207,2,"2015-07-21",8749,1086,1,0,"0",1
"11398",248,2,"2015-07-21",7508,1016,1,0,"0",1
"11414",264,2,"2015-07-21",6017,733,1,0,"0",1
"11597",447,2,"2015-07-21",4324,531,1,0,"0",1
"11638",488,2,"2015-07-21",2788,284,1,0,"0",1
"11669",519,2,"2015-07-21",3941,432,1,0,"0",1
"11759",609,2,"2015-07-21",4143,483,1,0,"0",1
"11761",611,2,"2015-07-21",5092,428,1,0,"0",0
"11789",639,2,"2015-07-21",3305,397,1,0,"0",1
"11933",783,2,"2015-07-21",5756,554,1,0,"0",1
"11989",839,2,"2015-07-21",3126,446,1,0,"0",1
"12074",924,2,"2015-07-21",3257,355,1,0,"0",1
"12089",939,2,"2015-07-21",4215,439,1,0,"0",1
"12198",1048,2,"2015-07-21",6103,464,1,0,"0",1
"12199",1049,2,"2015-07-21",3263,637,1,0,"0",0
"12224",1074,2,"2015-07-21",4230,449,1,0,"0",1
"12348",83,1,"2015-07-20",3953,352,1,0,"0",1
"12409",144,1,"2015-07-20",7611,780,1,0,"0",0
"12452",187,1,"2015-07-20",6015,784,1,0,"0",1
"12465",200,1,"2015-07-20",7188,890,1,0,"0",1
"12472",207,1,"2015-07-20",9830,1233,1,0,"0",1
"12513",248,1,"2015-07-20",8652,1145,1,0,"0",1
"12529",264,1,"2015-07-20",6384,815,1,0,"0",1
"12712",447,1,"2015-07-20",5535,631,1,0,"0",1
"12753",488,1,"2015-07-20",3356,366,1,0,"0",1
"12784",519,1,"2015-07-20",5137,549,1,0,"0",1
"12874",609,1,"2015-07-20",4852,520,1,0,"0",1
"12876",611,1,"2015-07-20",5699,496,1,0,"0",0
"12904",639,1,"2015-07-20",4291,410,1,0,"0",1
"13048",783,1,"2015-07-20",6305,693,1,0,"0",1
"13104",839,1,"2015-07-20",3759,540,1,0,"0",1
"13189",924,1,"2015-07-20",4168,410,1,0,"0",1
"13204",939,1,"2015-07-20",5054,540,1,0,"0",1
"13313",1048,1,"2015-07-20",7092,545,1,0,"0",1
"13314",1049,1,"2015-07-20",3515,694,1,0,"0",0
"13339",1074,1,"2015-07-20",4851,592,1,0,"0",1
"13463",83,7,"2015-07-19",0,0,0,0,"0",0
"13524",144,7,"2015-07-19",0,0,0,0,"0",0
"13567",187,7,"2015-07-19",0,0,0,0,"0",0
"13580",200,7,"2015-07-19",0,0,0,0,"0",0
"13587",207,7,"2015-07-19",0,0,0,0,"0",0
"13628",248,7,"2015-07-19",0,0,0,0,"0",0
"13644",264,7,"2015-07-19",0,0,0,0,"0",0
"13827",447,7,"2015-07-19",0,0,0,0,"0",0
"13868",488,7,"2015-07-19",0,0,0,0,"0",0
"13899",519,7,"2015-07-19",0,0,0,0,"0",0
"13989",609,7,"2015-07-19",0,0,0,0,"0",0
"13991",611,7,"2015-07-19",0,0,0,0,"0",0
"14019",639,7,"2015-07-19",0,0,0,0,"0",0
"14163",783,7,"2015-07-19",0,0,0,0,"0",0
"14219",839,7,"2015-07-19",0,0,0,0,"0",0
"14304",924,7,"2015-07-19",0,0,0,0,"0",0
"14319",939,7,"2015-07-19",0,0,0,0,"0",0
"14428",1048,7,"2015-07-19",0,0,0,0,"0",0
"14429",1049,7,"2015-07-19",0,0,0,0,"0",0
"14454",1074,7,"2015-07-19",0,0,0,0,"0",0
"14578",83,6,"2015-07-18",2939,245,1,0,"0",0
"14639",144,6,"2015-07-18",5914,557,1,0,"0",0
"14682",187,6,"2015-07-18",4897,552,1,0,"0",0
"14695",200,6,"2015-07-18",6053,725,1,0,"0",0
"14702",207,6,"2015-07-18",8599,999,1,0,"0",0
"14743",248,6,"2015-07-18",7067,949,1,0,"0",0
"14759",264,6,"2015-07-18",5822,737,1,0,"0",0
"14942",447,6,"2015-07-18",4999,560,1,0,"0",0
"14983",488,6,"2015-07-18",3483,379,1,0,"0",0
"15014",519,6,"2015-07-18",5853,603,1,0,"0",0
"15104",609,6,"2015-07-18",3211,299,1,0,"0",0
"15106",611,6,"2015-07-18",6174,515,1,0,"0",0
"15134",639,6,"2015-07-18",2694,277,1,0,"0",0
"15278",783,6,"2015-07-18",5827,571,1,0,"0",0
"15334",839,6,"2015-07-18",1894,285,1,0,"0",0
"15419",924,6,"2015-07-18",2200,220,1,0,"0",0
"15434",939,6,"2015-07-18",5373,590,1,0,"0",0
"15543",1048,6,"2015-07-18",5948,498,1,0,"0",0
"15544",1049,6,"2015-07-18",3249,496,1,0,"0",0
"15569",1074,6,"2015-07-18",3995,448,1,0,"0",0
"15693",83,5,"2015-07-17",3718,306,1,1,"0",1
"15754",144,5,"2015-07-17",8905,1087,1,1,"0",0
"15797",187,5,"2015-07-17",7832,902,1,1,"0",0
"15810",200,5,"2015-07-17",6291,828,1,1,"0",1
"15817",207,5,"2015-07-17",11357,1249,1,1,"0",0
"15858",248,5,"2015-07-17",8325,1083,1,1,"0",0
"15874",264,5,"2015-07-17",7000,850,1,1,"0",1
"16057",447,5,"2015-07-17",5418,609,1,1,"0",0
"16098",488,5,"2015-07-17",3932,398,1,1,"0",0
"16129",519,5,"2015-07-17",6498,590,1,1,"0",0
"16219",609,5,"2015-07-17",4946,524,1,1,"0",1
"16221",611,5,"2015-07-17",5949,480,1,1,"0",0
"16249",639,5,"2015-07-17",4590,501,1,1,"0",1
"16393",783,5,"2015-07-17",7502,747,1,1,"0",1
"16449",839,5,"2015-07-17",3781,507,1,1,"0",1
"16534",924,5,"2015-07-17",4143,335,1,1,"0",1
"16549",939,5,"2015-07-17",5720,544,1,1,"0",1
"16658",1048,5,"2015-07-17",9099,587,1,1,"0",0
"16659",1049,5,"2015-07-17",3434,614,1,1,"0",0
"16684",1074,5,"2015-07-17",5150,520,1,1,"0",1
"16808",83,4,"2015-07-16",3827,308,1,1,"0",1
"16869",144,4,"2015-07-16",8112,772,1,1,"0",0
"16912",187,4,"2015-07-16",6710,800,1,1,"0",0
"16925",200,4,"2015-07-16",8317,966,1,1,"0",1
"16932",207,4,"2015-07-16",13889,1480,1,1,"0",0
"16973",248,4,"2015-07-16",8449,1151,1,1,"0",0
"16989",264,4,"2015-07-16",7773,988,1,1,"0",1
"17172",447,4,"2015-07-16",6041,624,1,1,"0",0
"17213",488,4,"2015-07-16",4396,383,1,1,"0",0
"17244",519,4,"2015-07-16",6534,607,1,1,"0",0
"17334",609,4,"2015-07-16",5449,582,1,1,"0",1
"17336",611,4,"2015-07-16",5502,460,1,1,"0",0
"17364",639,4,"2015-07-16",4718,465,1,1,"0",1
"17508",783,4,"2015-07-16",7860,704,1,1,"0",1
"17564",839,4,"2015-07-16",4129,550,1,1,"0",1
"17649",924,4,"2015-07-16",4649,432,1,1,"0",1
"17664",939,4,"2015-07-16",5745,533,1,1,"0",1
"17773",1048,4,"2015-07-16",9009,622,1,1,"0",0
"17774",1049,4,"2015-07-16",4029,711,1,1,"0",0
"17799",1074,4,"2015-07-16",5305,496,1,1,"0",1
"17923",83,3,"2015-07-15",3971,329,1,1,"0",1
"17984",144,3,"2015-07-15",7525,727,1,1,"0",0
"18027",187,3,"2015-07-15",7140,808,1,1,"0",0
"18040",200,3,"2015-07-15",8930,1031,1,1,"0",1
"18047",207,3,"2015-07-15",13777,1474,1,1,"0",0
"18088",248,3,"2015-07-15",8325,1075,1,1,"0",0
"18104",264,3,"2015-07-15",8025,984,1,1,"0",0
"18287",447,3,"2015-07-15",5463,607,1,1,"0",0
"18328",488,3,"2015-07-15",4264,405,1,1,"0",0
"18359",519,3,"2015-07-15",6143,590,1,1,"0",0
"18449",609,3,"2015-07-15",5808,605,1,1,"0",0
"18451",611,3,"2015-07-15",6597,503,1,1,"0",0
"18479",639,3,"2015-07-15",4791,458,1,1,"0",1
"18623",783,3,"2015-07-15",7366,681,1,1,"0",1
"18679",839,3,"2015-07-15",5298,650,1,1,"0",0
"18764",924,3,"2015-07-15",4579,399,1,1,"0",1
"18779",939,3,"2015-07-15",6825,566,1,1,"0",1
"18888",1048,3,"2015-07-15",7580,582,1,1,"0",0
"18889",1049,3,"2015-07-15",3964,695,1,1,"0",0
"18914",1074,3,"2015-07-15",5439,533,1,1,"0",1
"19038",83,2,"2015-07-14",4380,345,1,1,"0",1
"19099",144,2,"2015-07-14",8316,770,1,1,"0",0
"19142",187,2,"2015-07-14",8309,929,1,1,"0",0
"19155",200,2,"2015-07-14",8451,981,1,1,"0",1
"19162",207,2,"2015-07-14",14549,1477,1,1,"0",0
"19203",248,2,"2015-07-14",9139,1204,1,1,"0",0
"19219",264,2,"2015-07-14",8403,1060,1,1,"0",0
"19402",447,2,"2015-07-14",6507,687,1,1,"0",0
"19443",488,2,"2015-07-14",4779,459,1,1,"0",0
"19474",519,2,"2015-07-14",5917,526,1,1,"0",0
"19564",609,2,"2015-07-14",4822,528,1,1,"0",0
"19566",611,2,"2015-07-14",6637,532,1,1,"0",0
"19594",639,2,"2015-07-14",5254,507,1,1,"0",1
"19738",783,2,"2015-07-14",8025,727,1,1,"0",1
"19794",839,2,"2015-07-14",4701,568,1,1,"0",0
"19879",924,2,"2015-07-14",6191,485,1,1,"0",1
"19894",939,2,"2015-07-14",7082,577,1,1,"0",1
"20003",1048,2,"2015-07-14",8643,549,1,1,"0",0
"20004",1049,2,"2015-07-14",4146,683,1,1,"0",0
"20029",1074,2,"2015-07-14",6352,533,1,1,"0",1
"20153",83,1,"2015-07-13",4758,361,1,1,"0",1
"20214",144,1,"2015-07-13",10065,844,1,1,"0",0
"20257",187,1,"2015-07-13",8845,935,1,1,"0",0
"20270",200,1,"2015-07-13",9155,973,1,1,"0",1
"20277",207,1,"2015-07-13",19454,1771,1,1,"0",0
"20318",248,1,"2015-07-13",9926,1218,1,1,"0",0
"20334",264,1,"2015-07-13",10467,1179,1,1,"0",0
"20517",447,1,"2015-07-13",7506,770,1,1,"0",0
"20558",488,1,"2015-07-13",5452,509,1,1,"0",0
"20589",519,1,"2015-07-13",7202,635,1,1,"0",0
"20679",609,1,"2015-07-13",6407,614,1,1,"0",0
"20681",611,1,"2015-07-13",8035,604,1,1,"0",0
"20709",639,1,"2015-07-13",5804,507,1,1,"0",1
"20853",783,1,"2015-07-13",9575,826,1,1,"0",1
"20909",839,1,"2015-07-13",6508,705,1,1,"0",0
"20994",924,1,"2015-07-13",5648,430,1,1,"0",1
"21009",939,1,"2015-07-13",8353,693,1,1,"0",1
"21118",1048,1,"2015-07-13",10361,725,1,1,"0",0
"21119",1049,1,"2015-07-13",4895,749,1,1,"0",0
"21144",1074,1,"2015-07-13",7984,687,1,1,"0",1
"21268",83,7,"2015-07-12",0,0,0,0,"0",0
"21329",144,7,"2015-07-12",0,0,0,0,"0",0
"21372",187,7,"2015-07-12",0,0,0,0,"0",0
"21385",200,7,"2015-07-12",0,0,0,0,"0",0
"21392",207,7,"2015-07-12",0,0,0,0,"0",0
"21433",248,7,"2015-07-12",0,0,0,0,"0",0
"21449",264,7,"2015-07-12",0,0,0,0,"0",0
"21632",447,7,"2015-07-12",0,0,0,0,"0",0
"21673",488,7,"2015-07-12",0,0,0,0,"0",0
"21704",519,7,"2015-07-12",0,0,0,0,"0",0
"21794",609,7,"2015-07-12",0,0,0,0,"0",0
"21796",611,7,"2015-07-12",0,0,0,0,"0",0
"21824",639,7,"2015-07-12",0,0,0,0,"0",0
"21968",783,7,"2015-07-12",0,0,0,0,"0",0
"22024",839,7,"2015-07-12",0,0,0,0,"0",0
"22109",924,7,"2015-07-12",0,0,0,0,"0",0
"22124",939,7,"2015-07-12",0,0,0,0,"0",0
"22233",1048,7,"2015-07-12",0,0,0,0,"0",0
"22234",1049,7,"2015-07-12",0,0,0,0,"0",0
"22259",1074,7,"2015-07-12",0,0,0,0,"0",0
"22383",83,6,"2015-07-11",2467,257,1,0,"0",0
"22444",144,6,"2015-07-11",5580,539,1,0,"0",0
"22487",187,6,"2015-07-11",3793,478,1,0,"0",0
"22500",200,6,"2015-07-11",6231,737,1,0,"0",0
"22507",207,6,"2015-07-11",7948,983,1,0,"0",0
"22548",248,6,"2015-07-11",7081,951,1,0,"0",0
"22564",264,6,"2015-07-11",5951,757,1,0,"0",0
"22747",447,6,"2015-07-11",5465,612,1,0,"0",0
"22788",488,6,"2015-07-11",3189,372,1,0,"0",0
"22819",519,6,"2015-07-11",5392,577,1,0,"0",0
"22909",609,6,"2015-07-11",3062,298,1,0,"0",0
"22911",611,6,"2015-07-11",5452,458,1,0,"0",0
"22939",639,6,"2015-07-11",2393,268,1,0,"0",0
"23083",783,6,"2015-07-11",6098,590,1,0,"0",0
"23139",839,6,"2015-07-11",2002,267,1,0,"0",0
"23224",924,6,"2015-07-11",2180,224,1,0,"0",0
"23239",939,6,"2015-07-11",5080,532,1,0,"0",0
"23348",1048,6,"2015-07-11",5711,477,1,0,"0",0
"23349",1049,6,"2015-07-11",2850,501,1,0,"0",0
"23374",1074,6,"2015-07-11",4629,450,1,0,"0",0
"23498",83,5,"2015-07-10",3589,327,1,0,"0",1
"23559",144,5,"2015-07-10",7182,719,1,0,"0",0
"23602",187,5,"2015-07-10",6708,855,1,0,"0",0
"23615",200,5,"2015-07-10",7688,928,1,0,"0",1
"23622",207,5,"2015-07-10",9928,1192,1,0,"0",0
"23663",248,5,"2015-07-10",7595,1032,1,0,"0",0
"23679",264,5,"2015-07-10",4999,709,1,0,"0",0
"23862",447,5,"2015-07-10",5155,587,1,0,"0",0
"23903",488,5,"2015-07-10",3855,379,1,0,"0",0
"23934",519,5,"2015-07-10",4656,517,1,0,"0",0
"24024",609,5,"2015-07-10",4560,522,1,0,"0",0
"24026",611,5,"2015-07-10",5521,480,1,0,"0",0
"24054",639,5,"2015-07-10",3740,424,1,0,"0",1
"24198",783,5,"2015-07-10",7629,778,1,0,"0",0
"24254",839,5,"2015-07-10",3457,469,1,0,"0",0
"24339",924,5,"2015-07-10",4181,393,1,0,"0",1
"24354",939,5,"2015-07-10",5211,535,1,0,"0",1
"24463",1048,5,"2015-07-10",5544,477,1,0,"0",0
"24464",1049,5,"2015-07-10",3084,562,1,0,"0",0
"24489",1074,5,"2015-07-10",4654,503,1,0,"0",0
"24613",83,4,"2015-07-09",2882,292,1,0,"0",1
"24674",144,4,"2015-07-09",7269,721,1,0,"0",0
"24717",187,4,"2015-07-09",4816,640,1,0,"0",0
"24730",200,4,"2015-07-09",6884,850,1,0,"0",1
"24737",207,4,"2015-07-09",9792,1220,1,0,"0",0
"24778",248,4,"2015-07-09",7458,1043,1,0,"0",0
"24794",264,4,"2015-07-09",5523,763,1,0,"0",0
"24977",447,4,"2015-07-09",4631,564,1,0,"0",0
"25018",488,4,"2015-07-09",3020,326,1,0,"0",0
"25049",519,4,"2015-07-09",4392,468,1,0,"0",0
"25139",609,4,"2015-07-09",4742,533,1,0,"0",0
"25141",611,4,"2015-07-09",5496,452,1,0,"0",0
"25169",639,4,"2015-07-09",3644,384,1,0,"0",1
"25313",783,4,"2015-07-09",7251,693,1,0,"0",0
"25369",839,4,"2015-07-09",3176,475,1,0,"0",0
"25454",924,4,"2015-07-09",3743,395,1,0,"0",1
"25469",939,4,"2015-07-09",4871,469,1,0,"0",1
"25578",1048,4,"2015-07-09",6052,496,1,0,"0",0
"25579",1049,4,"2015-07-09",3268,556,1,0,"0",0
"25604",1074,4,"2015-07-09",4162,476,1,0,"0",0
"25728",83,3,"2015-07-08",3087,290,1,0,"0",1
"25789",144,3,"2015-07-08",6549,651,1,0,"0",0
